###########################################
#Channel,        Pad,        X,        Y###
###########################################
281,         314,          2,           13
282,         267,          3,           11
283,         242,          2,           10
284,         315,          3,           13
285,         291,          3,           12
286,         243,          3,           10
287,         339,          3,           14
288,         292,          4,           12
289,         268,          4,           11
290,         340,          4,           14
291,         316,          4,           13
292,         269,          5,           11
293,         244,          4,           10
294,         317,          5,           13
295,         293,          5,           12
296,         245,          5,           10
297,         341,          5,           14
298,         294,          6,           12
299,         270,          6,           11
300,         342,          6,           14
301,         318,          6,           13
302,         271,          7,           11
303,         246,          6,           10
304,         319,          7,           13
305,         295,          7,           12
306,         247,          7,           10
307,         343,          7,           14
308,         296,          8,           12
309,         272,          8,           11
310,         344,          8,           14
311,         320,          8,           13
312,         273,          9,           11
313,         248,          8,           10
314,         321,          9,           13
315,         297,          9,           12
316,         249,          9,           10
317,         345,          9,           14
318,         298,          10,           12
319,         274,          10,           11
320,         346,          10,           14
321,         322,          10,           13
322,         275,          11,           11
323,         250,          10,           10
324,         323,          11,           13
325,         299,          11,           12
326,         251,          11,           10
327,         347,          11,           14
328,         300,          12,           12
329,         276,          12,           11
330,         348,          12,           14
331,         324,          12,           13
332,         277,          13,           11
333,         252,          12,           10
334,         325,          13,           13
335,         301,          13,           12
336,         253,          13,           10
337,         349,          13,           14
338,         302,          14,           12
339,         278,          14,           11
340,         350,          14,           14
341,         326,          14,           13
342,         279,          15,           11
343,         254,          14,           10
344,         327,          15,           13
345,         303,          15,           12
346,         255,          15,           10
347,         351,          15,           14
348,         304,          16,           12
349,         280,          16,           11
350,         352,          16,           14
351,         328,          16,           13
352,         281,          17,           11
353,         256,          16,           10
354,         329,          17,           13
355,         305,          17,           12
356,         257,          17,           10
357,         353,          17,           14
358,         306,          18,           12
359,         282,          18,           11
360,         354,          18,           14
361,         330,          18,           13
362,         283,          19,           11
363,         258,          18,           10
364,         331,          19,           13
365,         307,          19,           12
366,         259,          19,           10
367,         355,          19,           14
368,         308,          20,           12
369,         284,          20,           11
370,         356,          20,           14
371,         332,          20,           13
372,         285,          21,           11
373,         260,          20,           10
374,         333,          21,           13
375,         309,          21,           12
376,         261,          21,           10
377,         357,          21,           14
378,         310,          22,           12
379,         286,          22,           11
380,         358,          22,           14
381,         334,          22,           13
382,         287,          23,           11
383,         262,          22,           10
384,         -100,          -100,           -100
385,         -100,          -100,           -100
386,         -100,          -100,           -100
387,         -100,          -100,           -100
388,         -100,          -100,           -100
389,         -100,          -100,           -100
390,         -100,          -100,           -100
391,         -100,          -100,           -100
392,         383,          -1,           16
393,         358,          -2,           15
394,         431,          -1,           18
395,         407,          -1,           17
396,         359,          -1,           15
397,         455,          -1,           19
398,         408,          0,           17
399,         384,          0,           16
400,         456,          0,           19
401,         432,          0,           18
402,         385,          1,           16
403,         360,          0,           15
404,         433,          1,           18
405,         409,          1,           17
406,         361,          1,           15
407,         457,          1,           19
408,         410,          2,           17
