###########################################
#Channel,        Pad,        X,        Y###
###########################################
281,         428,          20,           17
282,         476,          20,           19
283,         380,          20,           15
284,         427,          19,           17
285,         451,          19,           18
286,         379,          19,           15
287,         403,          19,           16
288,         450,          18,           18
289,         475,          19,           19
290,         402,          18,           16
291,         426,          18,           17
292,         474,          18,           19
293,         378,          18,           15
294,         425,          17,           17
295,         449,          17,           18
296,         377,          17,           15
297,         401,          17,           16
298,         448,          16,           18
299,         473,          17,           19
300,         400,          16,           16
301,         424,          16,           17
302,         472,          16,           19
303,         376,          16,           15
304,         423,          15,           17
305,         447,          15,           18
306,         375,          15,           15
307,         399,          15,           16
308,         446,          14,           18
309,         471,          15,           19
310,         398,          14,           16
311,         422,          14,           17
312,         470,          14,           19
313,         374,          14,           15
314,         421,          13,           17
315,         445,          13,           18
316,         373,          13,           15
317,         397,          13,           16
318,         444,          12,           18
319,         469,          13,           19
320,         396,          12,           16
321,         420,          12,           17
322,         468,          12,           19
323,         372,          12,           15
324,         419,          11,           17
325,         443,          11,           18
326,         371,          11,           15
327,         395,          11,           16
328,         442,          10,           18
329,         467,          11,           19
330,         394,          10,           16
331,         418,          10,           17
332,         466,          10,           19
333,         370,          10,           15
334,         417,          9,           17
335,         441,          9,           18
336,         369,          9,           15
337,         393,          9,           16
338,         440,          8,           18
339,         465,          9,           19
340,         392,          8,           16
341,         416,          8,           17
342,         464,          8,           19
343,         368,          8,           15
344,         415,          7,           17
345,         439,          7,           18
346,         367,          7,           15
347,         391,          7,           16
348,         438,          6,           18
349,         463,          7,           19
350,         390,          6,           16
351,         414,          6,           17
352,         462,          6,           19
353,         366,          6,           15
354,         413,          5,           17
355,         437,          5,           18
356,         365,          5,           15
357,         389,          5,           16
358,         436,          4,           18
359,         461,          5,           19
360,         388,          4,           16
361,         412,          4,           17
362,         460,          4,           19
363,         364,          4,           15
364,         411,          3,           17
365,         435,          3,           18
366,         363,          3,           15
367,         387,          3,           16
368,         434,          2,           18
369,         459,          3,           19
370,         386,          2,           16
371,         410,          2,           17
372,         458,          2,           19
373,         362,          2,           15
374,         409,          1,           17
375,         433,          1,           18
376,         361,          1,           15
377,         385,          1,           16
378,         432,          0,           18
379,         457,          1,           19
380,         384,          0,           16
381,         408,          0,           17
382,         456,          0,           19
383,         360,          0,           15
384,         -100,          -100,           -100
385,         -100,          -100,           -100
386,         -100,          -100,           -100
387,         -100,          -100,           -100
388,         -100,          -100,           -100
389,         -100,          -100,           -100
390,         -100,          -100,           -100
391,         -100,          -100,           -100
392,         191,          23,           7
393,         215,          23,           8
394,         143,          23,           5
395,         167,          23,           6
396,         214,          22,           8
397,         239,          23,           9
398,         166,          22,           6
399,         190,          22,           7
400,         238,          22,           9
401,         142,          22,           5
402,         189,          21,           7
403,         213,          21,           8
404,         141,          21,           5
405,         165,          21,           6
406,         212,          20,           8
407,         237,          21,           9
408,         164,          20,           6
409,         188,          20,           7
410,         236,          20,           9
411,         140,          20,           5
412,         187,          19,           7
413,         211,          19,           8
414,         139,          19,           5
415,         163,          19,           6
416,         210,          18,           8
417,         235,          19,           9
418,         162,          18,           6
