###########################################
#Channel,        Pad,        X,        Y###
###########################################
283,      269,      29,      5
284,      460,      28,      9
285,      365,      29,      7
286,      317,      29,      6
287,      461,      29,      9
288,      413,      29,      8
289,      318,      30,      6
290,      270,      30,      5
291,      414,      30,      8
292,      366,      30,      7
293,      271,      31,      5
294,      462,      30,      9
295,      367,      31,      7
296,      319,      31,      6
297,      463,      31,      9
298,      415,      31,      8
299,      320,      32,      6
300,      272,      32,      5
301,      416,      32,      8
302,      368,      32,      7
303,      273,      33,      5
304,      464,      32,      9
305,      369,      33,      7
306,      321,      33,      6
307,      465,      33,      9
308,      417,      33,      8
309,      322,      34,      6
310,      274,      34,      5
311,      418,      34,      8
312,      370,      34,      7
313,      275,      35,      5
314,      466,      34,      9
315,      371,      35,      7
316,      323,      35,      6
317,      467,      35,      9
318,      419,      35,      8
319,      324,      36,      6
320,      276,      36,      5
321,      420,      36,      8
322,      372,      36,      7
323,      277,      37,      5
324,      468,      36,      9
325,      373,      37,      7
326,      325,      37,      6
327,      469,      37,      9
328,      421,      37,      8
329,      326,      38,      6
330,      278,      38,      5
331,      422,      38,      8
332,      374,      38,      7
333,      279,      39,      5
334,      470,      38,      9
335,      375,      39,      7
336,      327,      39,      6
337,      471,      39,      9
338,      423,      39,      8
339,      328,      40,      6
340,      280,      40,      5
341,      424,      40,      8
342,      376,      40,      7
343,      281,      41,      5
344,      472,      40,      9
345,      377,      41,      7
346,      329,      41,      6
347,      473,      41,      9
348,      425,      41,      8
349,      330,      42,      6
350,      282,      42,      5
351,      426,      42,      8
352,      378,      42,      7
353,      283,      43,      5
354,      474,      42,      9
355,      379,      43,      7
356,      331,      43,      6
357,      475,      43,      9
358,      427,      43,      8
359,      332,      44,      6
360,      284,      44,      5
361,      428,      44,      8
362,      380,      44,      7
363,      285,      45,      5
364,      476,      44,      9
365,      381,      45,      7
366,      333,      45,      6
367,      477,      45,      9
368,      429,      45,      8
369,      334,      46,      6
370,      286,      46,      5
371,      430,      46,      8
372,      382,      46,      7
373,      287,      47,      5
374,      478,      46,      9
375,      383,      47,      7
376,      335,      47,      6
377,      479,      47,      9
378,      431,      47,      8
379,      -100,      -100,      -100
380,      -100,      -100,      -100
381,      -100,      -100,      -100
382,      -100,      -100,      -100
383,      -100,      -100,      -100
384,      -100,      -100,      -100
385,      -100,      -100,      -100
386,      -100,      -100,      -100
387,      288,      0,      6
388,      240,      0,      5
389,      384,      0,      8
390,      336,      0,      7
391,      241,      1,      5
392,      432,      0,      9
393,      337,      1,      7
394,      289,      1,      6
395,      433,      1,      9
396,      385,      1,      8
397,      290,      2,      6
398,      242,      2,      5
399,      386,      2,      8
400,      338,      2,      7
401,      243,      3,      5
402,      434,      2,      9
403,      339,      3,      7
404,      291,      3,      6
405,      435,      3,      9
406,      387,      3,      8
407,      292,      4,      6
408,      244,      4,      5
409,      388,      4,      8
410,      340,      4,      7
411,      245,      5,      5
412,      436,      4,      9
413,      341,      5,      7
414,      293,      5,      6
415,      437,      5,      9
416,      389,      5,      8
417,      294,      6,      6
418,      246,      6,      5
419,      390,      6,      8
420,      342,      6,      7
421,      247,      7,      5
422,      438,      6,      9
423,      343,      7,      7
424,      295,      7,      6
425,      439,      7,      9
426,      391,      7,      8
427,      296,      8,      6
428,      248,      8,      5
429,      392,      8,      8
430,      344,      8,      7
431,      249,      9,      5
432,      440,      8,      9
433,      345,      9,      7
434,      297,      9,      6
435,      441,      9,      9
436,      393,      9,      8
437,      298,      10,      6
438,      250,      10,      5
439,      394,      10,      8
440,      346,      10,      7
441,      251,      11,      5
442,      442,      10,      9
443,      347,      11,      7
444,      299,      11,      6
445,      443,      11,      9
446,      395,      11,      8
447,      300,      12,      6
448,      252,      12,      5
449,      396,      12,      8
450,      348,      12,      7
451,      253,      13,      5
452,      444,      12,      9
453,      349,      13,      7
454,      301,      13,      6
455,      445,      13,      9
456,      397,      13,      8
457,      302,      14,      6
458,      254,      14,      5
459,      398,      14,      8
460,      350,      14,      7
461,      255,      15,      5
462,      446,      14,      9
463,      351,      15,      7
464,      303,      15,      6
465,      447,      15,      9
466,      399,      15,      8
467,      304,      16,      6
468,      256,      16,      5
469,      400,      16,      8
470,      352,      16,      7
471,      257,      17,      5
472,      448,      16,      9
473,      353,      17,      7
474,      305,      17,      6
475,      449,      17,      9
476,      401,      17,      8
477,      306,      18,      6
478,      258,      18,      5
479,      402,      18,      8
480,      354,      18,      7
481,      259,      19,      5
482,      450,      18,      9
483,      355,      19,      7
484,      307,      19,      6
485,      451,      19,      9
486,      403,      19,      8
487,      308,      20,      6
488,      260,      20,      5
489,      404,      20,      8
490,      356,      20,      7
491,      261,      21,      5
492,      452,      20,      9
493,      357,      21,      7
494,      309,      21,      6
495,      453,      21,      9
496,      405,      21,      8
497,      310,      22,      6
498,      262,      22,      5
499,      406,      22,      8
500,      358,      22,      7
501,      263,      23,      5
502,      454,      22,      9
503,      359,      23,      7
504,      311,      23,      6
505,      455,      23,      9
506,      407,      23,      8
507,      -100,      -100,      -100
508,      -100,      -100,      -100
509,      -100,      -100,      -100
510,      -100,      -100,      -100
511,      -100,      -100,      -100
